Site,Upload_date,#items_completed,#items_started,#attempts_incorrect,start_timestamp,SessionID,CRASHED,ActivityName,TutorID,MatrixName,ProblemName,TotalProblemCount,#attempts,end_timestamp,activity_duration,completion,last_problemnumber,last_problemname,DateTime_logName,TabletID,PERF_FileName,Promotion,total_incorrect_attempts,total_null_attempts,total_correct_attempts,first_attempt_correct_problem_counter,correct_problem_counter,Unique_Child_ID_1,Area_AN,Row_AN,Column_AN,Area_TID,Row_TID,Column_TID,Last_attemptHiatus,last_problemnumber2,between_activityHiatus,KC(Subtest),KC(Subtest)1,KC(Subtest)2,KC(Subtest)3,new_store_count,Percentage_Completion,First_Attempt_Percentage_Correct,Percentage_Correct,Percentage_Completion_2
131,2019-01-18,,,,946895751464, 6116001855_20000103_133514,0.0,bpop.wrd:ku..ku.syl.rand.all.stat.noShow.28, null, null, null,0,1,946895751464,0,BACKBUTTON,0, null,"01/03/2000, 13:35:14", 6116001855,PERF_RoboTutor_release_sw_2.7.7.1_000066_2000.01.03.13.35.14_6116001855.json, null,0,1,0,0,0,RSWGAP_410,literacy,5.0,78.0,DNFT,-1.0,-1.0,0,1,-1.0,Syllable Sound,,,,1.0,0.0,0.0,0.0,0.0
131,2019-01-18,,,,946895760742, 6116001855_20000103_133514,0.0,story.hear::Safari_Song__it_32, story.hear__Safari_Song__it_32, stories, Mbuga za wanyama Tanzania,4,16,946895783257,22515,ENDTUTOR,0, O Tanzania oyee!,"01/03/2000, 13:35:14", 6116001855,PERF_RoboTutor_release_sw_2.7.7.1_000066_2000.01.03.13.35.14_6116001855.json, PROMOTION,0,1,15,4,4,RSWGAP_410,story,16.0,20.0,story,16.0,20.0,4561,4,9278.0,Reading Comprehension,Listening Comprehension,Orienting to Print,,4.0,100.0,100.0,100.0,100.0
131,2019-01-18,,,,946895783346, 6116001855_20000103_133514,1.0,activity_selector, story.hear__Safari_Song__it_32, stories, O Tanzania oyee!,4,1,946895783346,0,STORY,0, O Tanzania oyee!,"01/03/2000, 13:35:14", 6116001855,PERF_RoboTutor_release_sw_2.7.7.1_000066_2000.01.03.13.35.14_6116001855.json, PROMOTION,0,0,1,0,0,RSWGAP_410,DNFT,-1.0,-1.0,story,16.0,20.0,0,1,89.0,,,,,1.0,25.0,0.0,0.0,25.0
131,2019-01-18,,,,946875976405, 6116001855_20000103_080558,0.0,story.hear::Kusoma_Welcome_Song__it_1, null, null, null,0,1,946875976405,0,BACKBUTTON,0, null,"01/03/2000, 08:05:58", 6116001855,PERF_RoboTutor_release_sw_2.7.7.1_000064_2000.01.03.08.05.59_6116001855.json, null,0,1,0,0,0,RSWGAP_410,math,16.0,1.0,DNFT,-1.0,-1.0,0,1,-1.0,Reading Comprehension,Listening Comprehension,Orienting to Print,,1.0,0.0,0.0,0.0,0.0
131,2019-01-18,,,,946875985349, 6116001855_20000103_080558,0.0,bpop.mn:0..9.MN-SD-UP-OFF2-BL1.incr.8, null, null, null,0,1,946875985349,0,BACKBUTTON,0, null,"01/03/2000, 08:05:58", 6116001855,PERF_RoboTutor_release_sw_2.7.7.1_000064_2000.01.03.08.05.59_6116001855.json, null,0,1,0,0,0,RSWGAP_410,math,4.0,20.0,DNFT,-1.0,-1.0,0,1,8944.0,Missing Number,,,,1.0,0.0,0.0,0.0,0.0
131,2019-01-18,,,,946875990834, 6116001855_20000103_080558,0.0,story.hear::Safari_Song__it_32, null, null, null,0,1,946875990834,0,BACKBUTTON,0, null,"01/03/2000, 08:05:58", 6116001855,PERF_RoboTutor_release_sw_2.7.7.1_000064_2000.01.03.08.05.59_6116001855.json, null,0,1,0,0,0,RSWGAP_410,story,16.0,20.0,DNFT,-1.0,-1.0,0,1,5485.0,Reading Comprehension,Listening Comprehension,Orienting to Print,,1.0,0.0,0.0,0.0,0.0
131,2019-01-18,,,,946875997481, 6116001855_20000103_080558,0.0,bpop.wrd:ja..ja.syl.rand.sim.stat.show.24, null, null, null,0,1,946875997481,0,BACKBUTTON,0, null,"01/03/2000, 08:05:58", 6116001855,PERF_RoboTutor_release_sw_2.7.7.1_000064_2000.01.03.08.05.59_6116001855.json, null,0,1,0,0,0,RSWGAP_410,literacy,5.0,67.0,DNFT,-1.0,-1.0,0,1,6647.0,Syllable Sound,,,,1.0,0.0,0.0,0.0,0.0
131,2019-01-18,,,,946876003209, 6116001855_20000103_080558,0.0,bpop.mn:0..9.MN-SD-UP-OFF2-BL1.incr.8, null, null, null,0,1,946876003209,0,BACKBUTTON,0, null,"01/03/2000, 08:05:58", 6116001855,PERF_RoboTutor_release_sw_2.7.7.1_000064_2000.01.03.08.05.59_6116001855.json, null,0,1,0,0,0,RSWGAP_410,math,4.0,20.0,DNFT,-1.0,-1.0,0,1,5728.0,Missing Number,,,,1.0,0.0,0.0,0.0,0.0
131,2019-01-18,,,,946876010066, 6116001855_20000103_080558,0.0,story.parrot::syl.ja..ju.asc.lc.8, null, null, null,0,1,946876010066,0,BACKBUTTON,0, null,"01/03/2000, 08:05:58", 6116001855,PERF_RoboTutor_release_sw_2.7.7.1_000064_2000.01.03.08.05.59_6116001855.json, null,0,1,0,0,0,RSWGAP_410,literacy,5.0,68.0,DNFT,-1.0,-1.0,0,1,6857.0,Syllable Sound,Oral Reading,Orienting to Print,,1.0,0.0,0.0,0.0,0.0
131,2019-01-18,,,,946876016597, 6116001855_20000103_080558,0.0,story.hear::Safari_Song__it_32, null, null, null,0,1,946876016597,0,BACKBUTTON,0, null,"01/03/2000, 08:05:58", 6116001855,PERF_RoboTutor_release_sw_2.7.7.1_000064_2000.01.03.08.05.59_6116001855.json, null,0,1,0,0,0,RSWGAP_410,story,16.0,20.0,DNFT,-1.0,-1.0,0,1,6531.0,Reading Comprehension,Listening Comprehension,Orienting to Print,,1.0,0.0,0.0,0.0,0.0
131,2019-01-18,,,,946876024005, 6116001855_20000103_080558,0.0,bpop.wrd:ja..ja.syl.rand.all.stat.noShow.25, null, null, null,0,1,946876024005,0,BACKBUTTON,0, null,"01/03/2000, 08:05:58", 6116001855,PERF_RoboTutor_release_sw_2.7.7.1_000064_2000.01.03.08.05.59_6116001855.json, null,0,1,0,0,0,RSWGAP_410,literacy,5.0,69.0,DNFT,-1.0,-1.0,0,1,7408.0,Syllable Sound,,,,1.0,0.0,0.0,0.0,0.0
131,2019-01-18,,,,946876030611, 6116001855_20000103_080558,0.0,num.scale:5..25.off2.18__it_1, null, null, null,0,1,946876030611,0,BACKBUTTON,0, null,"01/03/2000, 08:05:58", 6116001855,PERF_RoboTutor_release_sw_2.7.7.1_000064_2000.01.03.08.05.59_6116001855.json, null,0,1,0,0,0,RSWGAP_410,math,5.0,22.0,DNFT,-1.0,-1.0,0,1,6606.0,,,,,1.0,0.0,0.0,0.0,0.0
131,2019-01-18,,,,946876036342, 6116001855_20000103_080558,0.0,bpop.wrd:ja..ja.syl.rand.all.stat.noShow.25, null, null, null,0,1,946876036342,0,BACKBUTTON,0, null,"01/03/2000, 08:05:58", 6116001855,PERF_RoboTutor_release_sw_2.7.7.1_000064_2000.01.03.08.05.59_6116001855.json, null,0,1,0,0,0,RSWGAP_410,literacy,5.0,69.0,DNFT,-1.0,-1.0,0,1,5731.0,Syllable Sound,,,,1.0,0.0,0.0,0.0,0.0
131,2019-01-18,,,,946876042039, 6116001855_20000103_080558,0.0,story.hear::Safari_Song__it_32, null, null, null,0,1,946876042039,0,BACKBUTTON,0, null,"01/03/2000, 08:05:58", 6116001855,PERF_RoboTutor_release_sw_2.7.7.1_000064_2000.01.03.08.05.59_6116001855.json, null,0,1,0,0,0,RSWGAP_410,story,16.0,20.0,DNFT,-1.0,-1.0,0,1,5697.0,Reading Comprehension,Listening Comprehension,Orienting to Print,,1.0,0.0,0.0,0.0,0.0
